Link,Date,Name,Opponent,F1_Win,F1_Draw,Result_clean,EndRound
http://www.ufcstats.com/fighter-details/26b63bc5c0c1f65d,2014-12-12,Alex Chambers,Aisling Daly,FALSE,FALSE,Submission,1
http://www.ufcstats.com/fighter-details/26e3f3928b1891d9,2022-07-23,Hannah Goldy,Molly McCann,FALSE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/26e3f3928b1891d9,2021-09-18,Hannah Goldy,Emily Whitmire,TRUE,FALSE,Submission,1
http://www.ufcstats.com/fighter-details/26e3f3928b1891d9,2021-07-24,Hannah Goldy,Diana Belbita,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/26e3f3928b1891d9,2019-08-03,Hannah Goldy,Miranda Granger,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/26eddcda9d6b2ffe,2001-06-29,Paul Rodriguez,Tony DeSouza,FALSE,FALSE,Submission,1
http://www.ufcstats.com/fighter-details/270b89c00ef0c55c,2016-04-10,Gabriel Gonzaga,Derrick Lewis,FALSE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/270b89c00ef0c55c,2015-12-11,Gabriel Gonzaga,Konstantin Erokhin,TRUE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/270b89c00ef0c55c,2015-04-11,Gabriel Gonzaga,Mirko Cro Cop,FALSE,FALSE,Knockout,3
http://www.ufcstats.com/fighter-details/270b89c00ef0c55c,2014-12-13,Gabriel Gonzaga,Matt Mitrione,FALSE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/270b89c00ef0c55c,2014-01-25,Gabriel Gonzaga,Stipe Miocic,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/271fe91f4ba9d2c5,1996-12-07,Don Frye,Gary Goodridge,TRUE,FALSE,Submission,1
http://www.ufcstats.com/fighter-details/271fe91f4ba9d2c5,1996-12-07,Don Frye,David Abbott,TRUE,FALSE,Submission,1
http://www.ufcstats.com/fighter-details/271fe91f4ba9d2c5,1996-12-07,Don Frye,Mark Hall,TRUE,FALSE,Submission,1
http://www.ufcstats.com/fighter-details/271fe91f4ba9d2c5,1996-07-12,Don Frye,Brian Johnston,TRUE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/271fe91f4ba9d2c5,1996-07-12,Don Frye,Mark Hall,TRUE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/2721bb808bb2523c,2011-06-26,Curt Warburton,Joe Lauzon,FALSE,FALSE,Submission,1
http://www.ufcstats.com/fighter-details/2721bb808bb2523c,2011-02-26,Curt Warburton,Maciej Jewtuszko,TRUE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/2721bb808bb2523c,2010-10-16,Curt Warburton,Spencer Fisher,FALSE,FALSE,Unanimous Decision,3
